case_number,primary_type,description,location_description,arrest,year
JJ446498,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,2025
JJ451354,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ455453,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,2025
JJ446457,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,2025
JJ446534,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ446437,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ446804,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,False,2025
JJ446456,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,2025
JJ446434,ASSAULT,SIMPLE,RESIDENCE,False,2025
JJ446459,BURGLARY,BURGLARY FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,False,2025
JJ446614,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2025
JJ447661,THEFT,$500 AND UNDER,STREET,False,2025
JJ447167,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,2025
JJ446522,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,STREET,False,2025
JJ447264,THEFT,$500 AND UNDER,STREET,False,2025
JJ446418,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ446427,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,2025
